id,importanceSampling
1.0,-0.051387
3.0,3.028313
4.0,2.662976
7.0,5.013535
10.0,0.268753
12.0,1.211343
19.0,5.929181
20.0,1.799022
22.0,0.964646
27.0,7.692169
28.0,2.544444
29.0,3.757156
31.0,9.953610
34.0,2.661528
35.0,1.100708
46.0,1.754420
47.0,1.680023
49.0,1.261839
50.0,0.432902
55.0,1.700457
57.0,0.101614
60.0,7.225896
62.0,0.220852
66.0,0.256187
67.0,3.011242
73.0,8.741129
74.0,0.141560
75.0,2.162936
76.0,6.104943
78.0,2.760755
80.0,0.202343
83.0,17.626963
88.0,2.488716
97.0,3.283658
98.0,1.639137
102.0,0.357594
109.0,7.911695
110.0,0.379247
116.0,5.993940
120.0,0.278115
122.0,0.879500
125.0,-0.081055
126.0,0.857576
129.0,1.836138
130.0,1.253053
132.0,2.677917
133.0,5.133335
134.0,0.784704
139.0,4.311452
