id,importanceSampling
1.0,3.395059
3.0,5.175823
4.0,5.605541
7.0,5.074957
10.0,4.526559
12.0,13.192015
19.0,5.979636
20.0,1.845362
22.0,11.636110
27.0,12.544640
28.0,4.320051
29.0,7.052582
31.0,14.023927
34.0,5.430314
35.0,7.826497
46.0,7.858484
47.0,7.339613
49.0,5.747163
50.0,6.342273
55.0,3.678008
57.0,5.913872
60.0,8.418717
62.0,3.299058
66.0,3.604922
67.0,7.093901
73.0,8.411486
74.0,1.771944
75.0,2.475390
76.0,6.722828
78.0,9.767171
80.0,12.400015
83.0,13.762752
88.0,3.598045
97.0,6.041462
98.0,6.127201
102.0,1.761792
109.0,5.048673
110.0,4.620100
116.0,5.174453
120.0,3.230419
122.0,5.983410
125.0,7.445247
126.0,3.870794
129.0,2.224764
130.0,2.895578
132.0,2.779009
133.0,9.992705
134.0,3.430759
139.0,8.480606
