id,importanceSampling
1.0,-0.975684
3.0,-1.809845
4.0,-1.638201
5.0,-2.941211
7.0,-2.901155
10.0,14.618031
12.0,-1.670669
19.0,-1.409813
20.0,2.422102
22.0,0.335706
27.0,-2.535505
28.0,-0.584516
29.0,-2.798857
31.0,-3.364456
34.0,-2.859796
35.0,-2.989196
46.0,-3.102346
47.0,-3.010489
49.0,-2.983408
50.0,-2.816538
55.0,-1.529827
57.0,-2.029573
60.0,-2.158385
62.0,-1.286349
66.0,-1.328512
67.0,-2.020832
73.0,-3.060865
74.0,-0.961274
75.0,0.733211
76.0,-2.394520
78.0,-3.318363
80.0,-2.178059
83.0,13.352412
88.0,0.356639
97.0,-2.766657
98.0,4.981060
101.0,0.529826
102.0,-2.170865
105.0,-1.258631
108.0,16.686111
109.0,-0.934322
110.0,-1.294158
116.0,-1.319865
117.0,-4.998302
120.0,-3.157246
122.0,4.608681
124.0,-1.674622
125.0,-2.494815
126.0,9.521615
129.0,-1.920948
130.0,-3.292053
132.0,-1.009067
133.0,1.406197
134.0,-1.942781
139.0,-0.758536
