id,importanceSampling
1.0,-0.606503
3.0,-0.603103
4.0,-17.790041
5.0,-16.679819
7.0,-0.702150
10.0,-0.259580
12.0,-16.659843
19.0,-0.879778
27.0,-1.406683
28.0,-0.222993
29.0,-10.058638
34.0,-0.886762
35.0,-0.848890
46.0,-7.869810
47.0,-6.684876
49.0,-19.340269
50.0,8.746829
55.0,-1.196529
57.0,13.913530
60.0,-1.129095
73.0,-19.768775
76.0,1.592495
78.0,-13.590806
83.0,-2.735979
88.0,-1.055970
97.0,-3.314740
98.0,-0.974610
101.0,-4.212426
105.0,-2.490871
108.0,18.954405
109.0,-2.659869
110.0,3.780748
116.0,-5.048561
117.0,-3.208507
120.0,-3.156721
122.0,0.870611
124.0,-25.018875
125.0,0.718132
126.0,-4.194194
129.0,-11.066302
130.0,-1.719988
132.0,-1.438842
133.0,-3.584830
134.0,-19.181105
139.0,-2.472571
