id,importanceSampling
1.0,6.436621
3.0,14.183894
4.0,11.160223
5.0,13.054462
7.0,13.501185
10.0,15.439714
12.0,9.030169
19.0,11.366091
20.0,13.091450
22.0,6.337248
27.0,15.805210
28.0,14.962545
29.0,46.318296
31.0,13.859897
34.0,11.337349
35.0,11.752023
46.0,14.312360
47.0,11.590913
49.0,10.256048
50.0,9.718819
55.0,10.840740
57.0,18.697961
60.0,12.036122
62.0,11.659960
66.0,9.318483
67.0,11.356085
73.0,18.893104
74.0,5.595606
75.0,5.581231
76.0,14.085647
78.0,16.239389
80.0,11.183612
83.0,16.459533
88.0,14.681953
97.0,15.053213
98.0,10.081494
101.0,10.661012
102.0,4.509787
105.0,9.067578
108.0,9.683212
109.0,13.340338
110.0,22.308869
116.0,6.000122
117.0,9.761069
120.0,8.380536
122.0,7.916303
124.0,9.763466
125.0,8.251521
126.0,6.866979
129.0,10.747849
130.0,8.203107
132.0,3.545530
133.0,8.074659
134.0,7.488859
139.0,5.993915
