id,importanceSampling
1.0,13.230597
3.0,11.537420
4.0,26.589057
5.0,13.728556
7.0,2.680794
10.0,7.681591
12.0,16.395197
19.0,5.794332
27.0,1.536465
28.0,4.296219
29.0,23.065411
31.0,6.590845
34.0,1.534440
35.0,1.532824
46.0,6.894647
47.0,9.491001
49.0,38.281705
50.0,7.709797
55.0,31.764205
57.0,27.533834
60.0,6.658727
73.0,38.763307
76.0,4.783139
78.0,46.369224
80.0,0.567982
83.0,1.952065
88.0,4.519766
97.0,2.689900
98.0,1.084016
101.0,6.064809
105.0,5.107564
108.0,21.283651
109.0,13.765522
110.0,13.907086
116.0,24.469121
117.0,7.524421
120.0,6.223586
122.0,6.818177
124.0,19.074237
125.0,3.956870
126.0,3.289979
129.0,23.436880
130.0,1.540475
132.0,1.541586
133.0,8.709404
134.0,16.990882
139.0,5.516112
